        Kneeland     California 
Daily Data run on 2/11/2023 10:58
                    Day   Day  Solar            Wind                    Air                    Relative                
                    of    of    Rad.    Speed   Dir.    Speed       Temperature                Humidity         Precip.
 Date        Year   Year  Run  Total     Ave.  Vector   Gust    Ave.    Max.    Min.     Ave.    Max.    Min.   Total  
                              kW-hr/m2    m/s    deg.     m/s        Deg. C                      percent          mm  
 11/18/2021  2021   322   322   0.773    7.86     164   21.90     9.7    11.7     6.7      63     100      37    4.57
 11/19/2021  2021   323   323   1.179    1.75      40   11.62     7.4     8.9     5.6      98     100      71    3.81
 11/20/2021  2021   324   324   2.962    1.77      16    6.26    12.1    15.6     8.3      36      74      20    0.00
 11/21/2021  2021   325   325   2.939    1.64     160    4.92    15.2    19.4    12.2      18      39      10    0.00
 11/22/2021  2021   326   326   2.911    2.59     187    9.39    13.2    17.2     8.9      28      52      13    0.00
 11/23/2021  2021   327   327   2.797    2.10      22    8.94     5.6     9.4     3.9      86     100      43    0.25
 11/24/2021  2021   328   328   2.532    1.16     109    5.36    11.8    17.8     3.9      28      79       6    0.00
 11/25/2021  2021   329   329   2.459    1.14     128    4.92    14.1    17.2    10.0      20      36       6    0.00
 11/26/2021  2021   330   330   2.337    1.71      11    4.92    12.3    15.0     8.9      35     100       3    0.00
 11/27/2021  2021   331   331   2.392    1.25      35    4.47    13.9    17.2    11.1      86     100      67    0.00
 11/28/2021  2021   332   332   2.660    1.08     291    3.58    15.2    18.9    11.7      70      90      53    0.00
 11/29/2021  2021   333   333   2.712    1.75      23    6.26    12.9    17.2     8.9      61      96       7    0.00
 11/30/2021  2021   334   334   2.516    2.05      13    7.60    15.1    20.0    10.6      35      61      15    0.00
 12/01/2021  2021   335   335   2.587    1.28      38    4.02    20.2    25.0    13.9      27      54      14    0.00
 12/02/2021  2021   336   336   2.602    1.58      16    6.26    15.2    17.2    13.3      50      70      33    0.00
 12/03/2021  2021   337   337   2.587    1.19     359    3.13    15.4    19.4    12.2      49      68      30    0.00
 12/04/2021  2021   338   338   2.615    1.45       3    4.47    12.6    16.1     8.9      50      66      31    0.00
 12/05/2021  2021   339   339   2.524    1.66      14    4.92    10.4    12.8     7.8      54      75      33    0.00
 12/06/2021  2021   340   340   0.404    1.75     104    6.26     9.2    12.8     6.1      60     100      18    9.14
 12/07/2021  2021   341   341   2.154    1.68      49    4.92     9.7    14.4     6.1      90     100      53    0.51
 12/08/2021  2021   342   342   0.734    1.64     341    7.15     5.0     7.2     1.7     100     100     100    1.02
 12/09/2021  2021   343   343   2.558    2.35     351    9.39     1.7     4.4     0.6      91     100      68    0.00
 12/10/2021  2021   344   344   2.397    1.68      32    5.81     2.8     6.7     0.0      81     100      55    0.00
 12/11/2021  2021   345   345   0.305    9.95     160   29.50     3.4     4.4     2.8      87     100      66   33.27
 12/12/2021  2021   346   346   0.814    5.96     190   17.88     4.3     5.0     3.3      97     100      82   20.57
 12/13/2021  2021   347   347   0.226    4.69     216   16.99     2.0     4.4    -1.1     100     100      96   22.35
 12/14/2021  2021   348   348   2.059    1.82     186    6.26     0.1     3.3    -1.7      91     100      73    2.79
 12/15/2021  2021   349   349   0.437    7.60     180   28.61     1.1     2.8    -0.6      98     100      89   32.00
 12/16/2021  2021   350   350   1.188    1.96     204    7.60     3.0     5.0     1.7     100     100      99    8.13
 12/17/2021  2021   351   351   2.537    0.91      82    3.58     4.5     8.9     1.7      79     100      45    0.25
 12/18/2021  2021   352   352   1.715    2.68     186   10.73     7.2    10.6     5.0      46      76      27    0.25
 12/19/2021  2021   353   353   1.001    8.76     157   18.33     7.1     8.9     6.1      62      98      28    0.00
 12/20/2021  2021   354   354   1.272    8.49     155   23.25     6.9     8.3     5.6      73      90      63    0.00
 12/21/2021  2021   355   355   0.485    6.20     139   21.01     6.8     8.3     6.1      81     100      54   10.67
 12/22/2021  2021   356   356   1.105    5.66     185   14.75     7.2     8.9     6.7      97     100      87   22.86
 12/23/2021  2021   357   357   0.692    2.87     239   10.28     4.7     6.7     1.1     100     100     100   17.78
 12/24/2021  2021   358   358   0.332    4.56     233   14.75     1.1     1.7     0.0     100     100     100   16.26
 12/25/2021  2021   359   359   0.962    3.41     248   10.73    -0.2     1.7    -2.2     100     100     100    5.33
 12/26/2021  2021   360   360   0.642    4.73     243   13.41    -1.1     0.0    -2.2     100     100     100    0.00
 12/27/2021  2021   361   361   1.415    2.61     306   11.62    -2.1    -0.6    -3.9     100     100     100    0.00
 12/28/2021  2021   362   362   1.106    3.13     187    7.60     0.0     1.7    -2.8     100     100     100   18.80
 12/29/2021  2021   363   363   2.164    1.56      12    4.47     1.8     5.0     0.0      94     100      74   12.19
 12/30/2021  2021   364   364   1.692    1.77     230    6.26     1.1     5.0    -1.1      90     100      69    2.29
 12/31/2021  2021   365   365   1.559    2.07      11    8.05     0.4     2.8    -1.1      98     100      88    0.25
Copyright: Western Regional Climate Center - Desert Research Institute - Reno, Nevada.
Data are subject to further review and editing.  Please refer any questions to the Western Regional Climate Center.
