"GEOID","NAME","LSAD","LAND_AREA_M2","WATER_AREA_M2"
"0678148","Temple City","25",10370555,0
"0659451","Rancho Cucamonga","25",120441397,24723
"0610345","Campbell","25",15748875,50285
"0617610","Cupertino","25",29338791,2520
"0643294","Los Altos Hills","43",23483096,0
"0648956","Monte Sereno","25",4227643,0
"0655282","Palo Alto","25",62291997,4940291
"0668000","San Jose","25",461821936,8089813
"0658296","Port Hueneme","25",11434772,646717
"0646170","Marysville","25",8971193,312457
"0604030","Barstow","25",106964252,112301
"0614890","Colton","25",40273862,1320788
"0630658","Grand Terrace","25",9072646,0
"0680686","Tulelake","25",1061321,6167
"0641474","Lincoln","25",62599874,110309
"0643140","Loomis","43",18820030,0
"0665028","San Bruno","25",14215362,0
"0657876","Point Arena","25",3534168,0
"0685600","Willits","25",7296486,1546
"0616462","Corte Madera","43",8184887,3216812
"0662980","Ross","43",4036002,0
"0664434","San Anselmo","43",6928816,0
"0647710","Mill Valley","25",12385974,218653
"0678666","Tiburon","43",11603822,22626730
"0603092","Atherton","43",12991701,82320
"0608310","Brisbane","25",7731718,43981531
"0614736","Colma","43",4896408,0
"0620956","East Palo Alto","25",6547354,298782
"0625338","Foster City","25",9808766,41556867
"0631708","Half Moon Bay","25",16167307,27799
"0633798","Hillsborough","43",15970658,0
"0647486","Millbrae","25",8465890,61644
"0654806","Pacifica","25",32589429,23854
"0605164","Belvedere","25",1345174,4888515
"0612524","Ceres","25",24601754,14310
"0634904","Hughson","25",4937411,0
"0651140","Newman","25",5342856,0
"0641936","Live Oak","25",8083317,0
"0667000","San Francisco","25",121507089,479146790
"0652694","Oakdale","25",16121384,100699
"0619612","Dos Palos","25",3494393,0
"0631568","Gustine","25",4017008,0
"0654848","Pacific Grove","25",7422061,2925786
"0642006","Livingston","25",9518104,7397
"0658352","Portola","25",14003433,0
"0668014","San Juan Bautista","25",2032272,1166
"0646870","Menlo Park","25",25873981,19152744
"0668252","San Mateo","25",31427171,9622102
"0658380","Portola Valley","43",23524913,3741
"0640886","Lawndale","25",5107874,0
"0616322","Corning","25",9186897,0
"0678106","Tehama","25",2057210,0
"0681666","Vallejo","25",78788150,46317409
"0662000","Riverside","25",210387809,803475
"0649270","Moreno Valley","25",132938278,546511
"0616350","Corona","25",103445845,53210
"0639486","Lake Elsinore","25",99033141,13666891
"0604758","Beaumont","25",78521803,35531
"0633182","Hemet","25",75840173,0
"0651560","Norco","25",35887653,569467
"0612048","Cathedral City","25",58259920,665524
"0667112","San Jacinto","25",67229022,426797
"0655184","Palm Desert","25",69443541,528740
"0639304","La Habra Heights","25",15951225,4740
"0677000","Sunnyvale","25",57135716,1858933
"0649670","Mountain View","25",30971479,719719
"0643280","Los Altos","25",16938030,0
"0669084","Santa Clara","25",47336092,0
"0649278","Morgan Hill","25",33509082,0
"0658072","Pomona","25",59530485,26188
"0636490","Industry","25",30508618,717495
"0619192","Diamond Bar","25",38514313,13084
"0619990","Duarte","25",17376217,0
"0602462","Arcadia","25",28300749,540015
"0672996","South El Monte","25",7364933,14107
"0648914","Monterey Park","25",19870660,155185
"0684410","West Hollywood","25",4888623,0
"0684200","West Covina","25",41535627,124504
"0640830","La Verne","25",21812274,288109
"0636826","Irwindale","25",22853908,2037701
"0668224","San Marino","25",9753267,16339
"0608954","Burbank","25",44848115,94723
"0603386","Azusa","25",25022011,32168
"0684438","Westlake Village","25",13434930,828670
"0680812","Turlock","25",43503253,69528
"0623168","Fairfax","43",5770768,0
"0640438","Larkspur","25",7767799,566326
"0652582","Novato","25",71159604,1320903
"0643000","Long Beach","25",131351630,70260174
"0671876","Signal Hill","25",5670582,4445
"0659514","Rancho Palos Verdes","25",34892681,67929785
"0645246","Malibu","25",51403234,205274315
"0640130","Lancaster","25",244160144,651713
"0600884","Alhambra","25",19764463,1730
"0662896","Rosemead","25",13368558,35463
"0648816","Montebello","25",21569294,104147
"0628168","Gardena","25",15097437,93629
"0639892","Lakewood","25",24348922,133080
"0615044","Compton","25",25971015,230555
"0667042","San Gabriel","25",10732387,1750
"0652526","Norwalk","25",25141966,96906
"0619766","Downey","25",32138031,415895
"0685292","Whittier","25",37939344,32427
"0656924","Pico Rivera","25",21536859,1518068
"0604870","Bell","25",6495837,307162
"0636056","Huntington Park","25",7790286,8354
"0673080","South Gate","25",18743139,303434
"0617568","Culver City","25",13239286,71360
"0613014","Chico","25",89228951,445035
"0654386","Oroville","25",35830540,47848
"0611040","Capitola","25",4129576,213680
"0670588","Scotts Valley","25",11961717,0
"0617022","Crescent City","25",5085115,1169624
"0645022","Madera","25",42668924,0
"0656112","Patterson","25",20167365,222151
"0661068","Riverbank","25",12204287,68157
"0683612","Waterford","25",6108059,63331
"0648354","Modesto","25",111485793,4740717
"0633000","Hayward","25",118669080,47415914
"0641992","Livermore","25",68494311,9862
"0657792","Pleasanton","25",62524282,380831
"0685012","Wheatland","25",21035375,17378
"0607162","Blue Lake","25",1537386,75886
"0625296","Fortuna","25",13592673,4768
"0660900","Rio Dell","25",5907972,350987
"0680448","Trinidad","25",1255850,482188
"0623910","Ferndale","25",3105843,0
"0602476","Arcata","25",24399923,5229392
"0623042","Eureka","25",24698637,13130764
"0660018","Redondo Beach","25",16070262,29367
"0680000","Torrance","25",53141224,10608735
"0682954","Visalia","25",98390749,51434
"0646842","Menifee","25",120369471,381612
"0605108","Belmont","25",11990538,23653
"0609066","Burlingame","25",11378235,4261690
"0617918","Daly City","25",19783516,0
"0665070","San Carlos","25",14016664,2037
"0673262","South San Francisco","25",23835620,54315204
"0686440","Woodside","43",29697449,0
"0685446","Wildomar","25",61393217,0
"0603820","Banning","25",60183802,0
"0608100","Brea","25",31513797,99672
"0636770","Irvine","25",169930356,802010
